JD,mag,I_Magnitude,band,val
2452037.424,14.6,0,Vis.,V
2452038.4403,14.8,0,Vis.,V
2452041.422,14.2,0,Vis.,Z
2452042.427,14.1,0,Vis.,Z
2452042.433,14.3,0,Vis.,V
2452042.4556,14.9,0,Vis.,V
2452042.7326,14.1,0,Vis.,V
2452043.4215,13.9,0,Vis.,V
2452044.3785,13.6,0,Vis.,V
2452046.449,14.1,0,Vis.,Z
2452046.460,14.5,0,Vis.,V
2452048.6618,14.1,0,Vis.,V
2452049.457,14.1,0,Vis.,Z
2452049.491,14.5,0,Vis.,V
2452049.6583,14.1,0,Vis.,V
2452050.3785,14.1,0,Vis.,V
2452050.456,14.1,0,Vis.,Z
2452051.3958,14.4,0,Vis.,V
2452051.477,14.6,0,Vis.,V
2452052.3833,14.3,0,Vis.,V
2452052.4771,15.2,0,Vis.,
2452052.519,14.7,0,Vis.,V
2452053.439,14.4,0,Vis.,V
2452053.469,14.2,0,Vis.,Z
2452054.456,14.1,0,Vis.,Z
2452055.3958,13.8,0,Vis.,V
2452055.4444,14.5,0,Vis.,V
2452058.442,14.5,0,Vis.,V
2452059.453,14.6,0,Vis.,V
2452059.6854,14.1,0,Vis.,V
2452061.4431,14.2,0,Vis.,
2452065.436,14.5,0,Vis.,V
2452068.468,14.2,0,Vis.,V
2452069.4438,14.0,0,Vis.,V
2452069.6639,14.1,0,Vis.,V
2452071.447,14.3,0,Vis.,V
2452077.4375,14.4,0,Vis.,V
2452080.4236,14.0,0,Vis.,V
2452255.704,14.7,0,Vis.,Z
2452257.713,15.3,0,Vis.,Z
2452257.7153,15.1,0,Vis.,V
2452263.7403,15.4,0,Vis.,
2452284.9097,14.1,0,Vis.,V
2452286.8903,14.1,0,Vis.,V
2452292.701,15.1,0,Vis.,Z
2452296.8854,14.1,0,Vis.,V
2452319.696,15.1,0,Vis.,Z
2452320.698,15.1,0,Vis.,Z
2452323.7993,14.1,0,Vis.,V
2452325.721,15.1,0,Vis.,Z
2452340.5556,14.5,0,Vis.,V
2452342.539,15.1,0,Vis.,Z
2452355.7910,14.7,0,Vis.,V
2452356.8542,14.5,0,Vis.,V
2452366.48,15.1,0,Vis.,Z
2452368.510,14.10,0,Vis.,Z
2452368.8160,14.1,0,Vis.,V
2452371.4097,15.0,0,Vis.,V
2452371.474,15.1,0,Vis.,Z
2452372.453,15.1,0,Vis.,Z
2452373.4326,15.6,0,Vis.,V
2452374.4,14.9,0,Vis.,
2452375.416,15.0,0,Vis.,Z
2452377.4042,15.0,0,Vis.,
2452377.4340,15.4,0,Vis.,V
2452377.497,14.9,0,Vis.,Z
2452380.4014,14.9,0,Vis.,
2452380.406,14.6,0,Vis.,Z
2452380.481,15.1,0,Vis.,V
2452380.6590,14.1,0,Vis.,V
2452381.41,14.6,0,Vis.,Z
2452382.7111,14.8,0,Vis.,V
2452383.3958,14.8,0,Vis.,
2452388.485,14.2,0,Vis.,V
2452395.417,15.1,0,Vis.,Z
2452395.470,15.5,0,Vis.,V
2452396.495,15.0,0,Vis.,V
2452397.441,15.2,0,Vis.,V
2452397.455,15.1,0,Vis.,Z
2452398.3958,15.0,0,Vis.,
2452398.41,14.7,0,Vis.,V
2452399.437,15.1,0,Vis.,Z
2452401.465,15.1,0,Vis.,Z
2452406.485,15.1,0,Vis.,Z
2452410.445,15.0,0,Vis.,V
2452411.4583,15.0,0,Vis.,V
2452421.467,14.2,0,Vis.,V
2452425.460,15.0,0,Vis.,V
2452425.4743,15.0,0,Vis.,
2452426.4431,14.2,0,Vis.,V
2452426.499,15.1,0,Vis.,Z
2452427.469,14.2,0,Vis.,V
2452613.737,14.9,0,Vis.,Z
2452618.718,14.9,0,Vis.,Z
2452644.75,15.9,0,Vis.,Z
2452646.71,15.9,0,Vis.,Z
2452647.9069,14.5,0,Vis.,V
2452650.7785,14.2,0,Vis.,
2452678.8889,14.9,0,Vis.,V
2452680.7,14.9,0,Vis.,Z
2452693.568,14.2,0,Vis.,V
2452696.545,14.90,0,Vis.,Z
2452697.545,14.90,0,Vis.,Z
2452699.5514,15.4,0,Vis.,Z
2452706.4861,15.0,0,Vis.,
2452706.553,16.1,0,Vis.,Z
2452708.5778,14.2,0,Vis.,Z
2452713.5646,14.2,0,Vis.,Z
2452720.5132,14.2,0,Vis.,Z
2452721.5069,14.9,0,Vis.,Z
2452723.5076,15.0,0,Vis.,Z
2452726.4354,15.0,0,Vis.,
2452728.533,14.2,0,Vis.,V
2452730.3972,15.0,0,Vis.,
2452730.464,15.0,0,Vis.,V
2452732.459,15.5,0,Vis.,V
2452732.4951,15.4,0,Vis.,
2452734.4583,15.2,0,Vis.,V
2452735.7889,13.0,0,Vis.,V
2452736.4965,16.3,0,Vis.,V
2452737.3958,15.0,0,Vis.,
2452737.499,15.0,0,Vis.,V
2452738.4028,14.2,0,Vis.,
2452738.508,14.2,0,Vis.,V
2452739.418,14.2,0,Vis.,V
2452740.7743,14.5,0,Vis.,V
2452748.3889,15.0,0,Vis.,V
2452748.3889,14.2,0,Vis.,
2452748.424,14.2,0,Vis.,V
2452751.3979,15.0,0,Vis.,
2452752.456,14.2,0,Vis.,V
2452752.7250,14.7,0,Vis.,V
2452755.3944,15.4,0,Vis.,
2452757.6958,14.1,0,Vis.,V
2452758.444,15.7,0,Vis.,V
2452763.6389,14.9,0,Vis.,V
2452764.4722,16.5,0,Vis.,V
2452765.433,15.0,0,Vis.,V
2452765.483,14.9,0,Vis.,Z
2452766.4021,15.0,0,Vis.,
2452769.484,15.0,0,Vis.,
2452771.422,14.2,0,Vis.,V
2452774.417,14.2,0,Vis.,V
2452777.6417,14.1,0,Vis.,V
2452777.6833,13.0,0,Vis.,V
2452778.441,14.9,0,Vis.,Z
2452778.4410,15.4,0,Vis.,V
2452779.441,15.4,0,Vis.,Z
2452780.6521,14.9,0,Vis.,V
2452784.432,15.0,0,Vis.,V
2452786.6174,14.1,0,Vis.,V
2452791.469,14.2,0,Vis.,V
2452793.444,14.2,0,Vis.,V
2452796.4056,15.3,0,Vis.,V
2452803.481,14.2,0,Vis.,V
2452811.6333,14.1,0,Vis.,V
2452968.029,15.6,0,V,V
2452971.020,15.6,0,V,V
2452972.014,15.3,0,V,V
2452974.010,15.3,0,V,V
2452975.026,15.4,0,V,V
2452977.018,15.3,0,V,V
2452978.014,15.0,0,V,V
2452979.025,15.0,0,V,V
2452980.992,15.0,0,V,V
2452983.983,15.3,0,V,V
2452984.976,15.4,0,V,V
2452986.972,15.4,0,V,V
2452988.001,15.7,0,V,V
2452989.963,15.5,0,V,V
2452990.987,15.8,0,V,V
2452991.958,15.4,0,V,V
2452992.956,15.4,0,V,V
2452993.976,15.8,0,V,V
2452994.967,15.6,0,V,V
2452995.706,15.9,0,Vis.,Z
2452995.949,15.8,0,V,V
2452996.945,15.8,0,V,V
2452999.9472,14.1,0,Vis.,V
2453000.954,15.8,0,V,V
2453001.9021,14.1,0,Vis.,V
2453001.934,15.8,0,V,V
2453002.936,16.0,0,V,V
2453007.916,15.9,0,V,V
2453011.925,15.9,0,V,V
2453014.014,15.8,0,V,V
2453014.897,15.8,0,V,V
2453024.031,16.0,0,V,V
2453024.867,16.1,0,V,V
2453028.737,15.9,0,Vis.,Z
2453029.732,15.9,0,Vis.,Z
2453031.849,15.8,0,V,V
2453032.968,15.8,0,V,V
2453034.841,15.8,0,V,V
2453035.957,15.8,0,V,V
2453037.861,15.8,0,V,V
2453038.970,15.8,0,V,V
2453040.944,15.7,0,V,V
2453042.942,15.9,0,V,V
2453043.818,15.8,0,V,V
2453047.807,15.8,0,V,V
2453049.8813,15.8,0,V,V
2453050.8150,15.8,0,V,V
2453050.9028,14.9,0,Vis.,V
2453052.6285,15.7,0,Vis.,V
2453053.697,15.9,0,Vis.,Z
2453053.7771,14.1,0,Vis.,V
2453053.8095,15.5,0,V,V
2453054.8011,15.8,0,V,V
2453055.8986,15.7,0,V,V
2453058.712,15.9,0,Vis.,Z
2453060.9398,15.5,0,V,V
2453061.5458,15.4,0,Vis.,Z
2453061.7845,15.4,0,V,V
2453062.7706,15.5,0,V,V
2453063.9762,15.6,0,V,V
2453064.7962,15.5,0,V,V
2453079.7246,15.6,0,V,V
2453080.7256,15.8,0,V,V
2453081.4514,15.7,0,Vis.,V
2453081.7260,15.8,0,V,V
2453083.7265,15.8,0,V,V
2453089.6974,15.7,0,V,V
2453090.4424,15.4,0,Vis.,Z
2453092.6831,15.8,0,V,V
2453093.456,15.9,0,Vis.,Z
2453093.7115,16.0,0,V,V
2453094.7148,16.1,0,V,V
2453095.6866,16.2,0,V,V
2453103.6641,16.20,0,V,V
2453104.538,14.5,0,Vis.,V
2453108.404,15.9,0,Vis.,Z
2453109.4056,14.2,0,Vis.,Z
2453110.6965,14.9,0,Vis.,V
2453110.7424,16.26,0,V,V
2453113.3896,15.6,0,Vis.,V
2453115.522,14.9,0,Vis.,V
2453116.6408,16.00,0,V,V
2453117.428,15.2,0,Vis.,V
2453118.4014,15.0,0,Vis.,Z
2453118.419,15.9,0,Vis.,Z
2453119.7354,14.1,0,Vis.,V
2453120.6497,16.00,0,V,V
2453122.6520,16.00,0,V,V
2453130.6275,15.8,0,V,V
2453132.6569,16.2,0,V,V
2453137.6317,16.2,0,V,V
2453138.6324,16.1,0,V,V
2453139.6331,15.6,0,V,V
2453140.4743,15.4,0,Vis.,Z
2453140.6331,15.8,0,V,V
2453142.4479,14.9,0,Vis.,V
2453143.4375,14.1,0,Vis.,V
2453143.6477,15.6,0,V,V
2453144.4222,14.9,0,Vis.,V
2453145.4188,14.9,0,Vis.,V
2453146.6358,15.8,0,V,V
2453147.4771,14.9,0,Vis.,V
2453147.4937,15.4,0,Vis.,Z
2453147.6358,15.7,0,V,V
2453149.4278,14.1,0,Vis.,V
2453149.6365,15.4,0,V,V
2453150.4229,14.1,0,Vis.,V
2453150.6372,15.5,0,V,V
2453152.6500,14.1,0,Vis.,V
2453157.6409,15.6,0,V,V
2453159.6414,15.5,0,V,V
2453160.6452,15.5,0,V,V
2453161.6542,14.1,0,Vis.,V
2453162.6428,15.6,0,V,V
2453166.6443,15.6,0,V,V
2453167.6444,15.6,0,V,V
2453169.6449,15.7,0,V,V
